"0.8" "0.85" "0.9" "0.95" "0.99"
"4" 0.302658520349044 0.320017072967879 0.349950600310273 0.375004829727153 0.412320248953682
"5" 0.290044160374366 0.304696082122379 0.320457463996773 0.340795767420643 0.390957356171716
"6" 0.264710282675283 0.279367699973169 0.294783422417958 0.319055868327294 0.370587324221585
"7" 0.252047182819046 0.262007223566613 0.278364517583738 0.300627845915207 0.359332050269575
"8" 0.238902034036725 0.249957422537189 0.266978123651738 0.293964429276741 0.341077344634276
"9" 0.227135455829166 0.238332087689749 0.25237014524645 0.274373281416974 0.314628552069259
"10" 0.217845373525503 0.229323234025733 0.24140834454788 0.257814180349903 0.300262786682166
"11" 0.203622410796305 0.214057645398583 0.224487228589469 0.247055259557313 0.285102306836783
"12" 0.202872135327876 0.211189808237786 0.225675664703784 0.249398181897958 0.283736568365287
"13" 0.190486976064535 0.198931073253663 0.213474460546144 0.233562815721159 0.278978118909804
"14" 0.184896230100855 0.193892213400425 0.206059940127244 0.223862713977019 0.247771174042317
"15" 0.182679858885557 0.19092799456845 0.202728411773138 0.22246640548828 0.25870098457529
"16" 0.177628989785947 0.186143423372218 0.197567361310689 0.210848775720663 0.249042718959776
"17" 0.169657885082297 0.180580355326945 0.189755667698029 0.206297782315646 0.243348411056636
"18" 0.167703876863902 0.176210933815023 0.187467343836274 0.205835963582575 0.230507966904878
"19" 0.164524166963244 0.171791989174068 0.183906035526841 0.202751031806952 0.234762227215228
"20" 0.157080716252877 0.164933259965199 0.17367821866235 0.185888743302921 0.236697805049353
"25" 0.14358690578613 0.150506086752102 0.160829807842274 0.171482487901048 0.199402053672055
"30" 0.130848447011445 0.138249932070015 0.147319992829586 0.16059317376454 0.184088043753818
