"0.8" "0.85" "0.9" "0.95" "0.99"
"4" 0.302939721891883 0.321560078142158 0.345347504303089 0.37535813930094 0.413106018880836
"5" 0.289441226012276 0.302727918557456 0.318861688117611 0.343028535636749 0.397059204444052
"6" 0.268650283933788 0.280953789162655 0.29720516343057 0.323507551229865 0.370615537368239
"7" 0.252397525402696 0.264470711069416 0.28044431059786 0.304284287102613 0.350776440916036
"8" 0.238648416401568 0.250028607042911 0.264904248667119 0.28750672491108 0.332515595738897
"9" 0.227251154684855 0.238111955142318 0.252114108898942 0.27395070036143 0.3173267652605
"10" 0.21710986882287 0.227457328922991 0.241046170292388 0.261929528082489 0.30337885923679
"11" 0.208208648748764 0.218207295304208 0.231289692202289 0.251508098333918 0.291728125425677
"12" 0.200258649530556 0.209872232461706 0.222532646650134 0.242132539109597 0.280789706461782
"13" 0.193262530722023 0.202515222317067 0.214718682558233 0.233600228362893 0.271310587003608
"14" 0.186868566853356 0.195905514486473 0.20770351117751 0.22594045363937 0.262585279793115
"15" 0.181075184026827 0.189762080956615 0.201248679824134 0.218857611623007 0.253893368555009
"16" 0.175839514991212 0.184325810255519 0.195390801195906 0.212484702100699 0.246891002271336
"17" 0.171004423788442 0.179246452308374 0.189931036428977 0.206764598728306 0.240486042340452
"18" 0.166633731783528 0.174636092559773 0.185225708163006 0.201545671452212 0.234234480539379
"19" 0.162608058263417 0.170388698381889 0.180626213359474 0.196671293597933 0.22873274889693
"20" 0.158717437339354 0.166332077647759 0.176354550900409 0.191963802416367 0.223235466307474
"25" 0.142981731043984 0.149832769431972 0.158844346300823 0.173007125485459 0.201391288289265
"30" 0.131288602335127 0.137578778290326 0.145856445508154 0.158668290209487 0.184860209788088
